Location,Beer Style,Address,Latitude,Longitude,Description,Rank
Chattanooga Brewing Co.,"Oktoberfest, Hill City IPA, Imperial Pilsner, Hill City Stout, ChickBock, Hill City Pale Ale","109 Frazier Avenue, Chattanooga, TN",35.062473,-85.307758,"109 Frazier Avenue, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Oktoberfest, Hill City IPA, Imperial Pilsner, Hill City Stout, ChickBock, Hill City Pale Ale",1
Northshore Grille,Hill City Pale Ale,"16 Frazier Avenue, Chattanooga, TN",35.062473,-85.307758,"16 Frazier Avenue, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Hill City Pale Ale",2
Greenlife Grocery,"Oktoberfest, Kolsch, Hill City IPA ","301 Manufacturers Rd, Chattanooga, TN",35.062529,-85.313213,"301 Manufacturers Rd, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Oktoberfest, Kolsch, Hill City IPA ",3
Riverside Beverage,"Hill City Pale Ale, ChickBock","600 Manufacturers Road, Chattanooga, TN",35.061921,-85.316184,"600 Manufacturers Road, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Hill City Pale Ale, ChickBock",4
Tremont Tavern,"Chickbock, Two Taverns Pale Ale, Hill City Gold, Hill City IPA, Imperial Pilsner, Hill City Stout","1203 Hixson Pike, Chattanooga, TN",35.069599,-85.289418,"1203 Hixson Pike, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Chickbock, Two Taverns Pale Ale, Hill City Gold, Hill City IPA, Imperial Pilsner, Hill City Stout",5
Market Street Tavern,Two Taverns Pale Ale,"850 Market St # 100, Chattanooga, TN",35.0727,-85.308422,"850 Market St # 100, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Two Taverns Pale Ale",6
Mellow Mushroom,Hill City Stout,"205 Broad Street, Chattanooga, TN",35.053852,-85.31059,"205 Broad Street, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Hill City Stout",7
Good Dog,ChickBock,"34 Frazier Avenue, Chattanooga, TN",35.062451,-85.307495,"34 Frazier Avenue, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>ChickBock",8
Lupi's Pizza Pies (Down Town),ChickBock,"406 Broad St # A, Chattanooga, TN",35.052187,-85.310557,"406 Broad St # A, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>ChickBock",9
Stone Cup Hill City Pizza,ChickBock,"16 Frazier Avenue, Chattanooga, TN",35.062473,-85.307758,"16 Frazier Avenue, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>ChickBock",10
Sluggo's North,"Hill City Gold, Imperial Pilsner, Hill City Stout","501 Cherokee Boulevard, Chattanooga, TN",35.066973,-85.314858,"501 Cherokee Boulevard, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Hill City Gold, Imperial Pilsner, Hill City Stout",11
Taco Mamacita,Imperial Pilsner,"109 North Market Street, Chattanooga, TN",35.066773,-85.309058,"109 North Market Street, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Imperial Pilsner",12
