
Chattanooga Brewing Co.,"Winter Warmer, Hill City IPA, Imperial Pilsner, ChickBock, Hill City Pale Ale","109 Frazier Avenue, Chattanooga, TN",35.062473,-85.307758,"109 Frazier Avenue, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Winter Warmer, Hill City IPA, Imperial Pilsner, ChickBock, Hill City Pale Ale",1,"<a href='http://maps.google.com/maps/place?hl=en&ie=UTF8&q=chattanooga+brewing&fb=1&gl=us&hq=brewing&hnear=0x886060408a83e785:0x2471261f898728aa,Chattanooga,+TN&cid=13160642433487768275&t=w&z=14&vpsrc=0' target='_blank'>Chattanooga Brewing Co.</a>","http://maps.google.com/maps/place?hl=en&ie=UTF8&q=chattanooga+brewing&fb=1&gl=us&hq=brewing&hnear=0x886060408a83e785:0x2471261f898728aa,Chattanooga,+TN&cid=13160642433487768275&t=w&z=14&vpsrc=0"
Northshore Grille,Hill City Pale Ale,"16 Frazier Avenue, Chattanooga, TN",35.062473,-85.307758,"16 Frazier Avenue, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Hill City Pale Ale",2,"<a href='http://maps.google.com/maps/place?cid=7006379882210715274&q=Northshore+Grille&hl=en&gl=us&ie=UTF8&ll=35.133376,-85.373788&spn=0.00014,0.000172&t=w&z=13&vpsrc=0' target='_blank'>Northshore Grille</a>","http://maps.google.com/maps/place?cid=7006379882210715274&q=Northshore+Grille&hl=en&gl=us&ie=UTF8&ll=35.133376,-85.373788&spn=0.00014,0.000172&t=w&z=13&vpsrc=0"
Greenlife Grocery,"Imperial Pilsner, Winter Warmer, Hill City IPA ","301 Manufacturers Rd, Chattanooga, TN",35.062529,-85.313213,"301 Manufacturers Rd, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Imperial Pilsner, Winter Warmer, Hill City IPA ",3,"<a href='http://maps.google.com/maps/place?cid=11945610999220286234&q=Greenlife+Grocery&hl=en&gl=us&ie=UTF8&ll=35.071364,-85.321053&spn=0.000035,0.000043&t=w&z=15&vpsrc=0' target='_blank'>Greenlife Grocery</a>","http://maps.google.com/maps/place?cid=11945610999220286234&q=Greenlife+Grocery&hl=en&gl=us&ie=UTF8&ll=35.071364,-85.321053&spn=0.000035,0.000043&t=w&z=15&vpsrc=0"
Riverside Beverage,Winter Warmer ,"600 Manufacturers Road, Chattanooga, TN",35.061921,-85.316184,"600 Manufacturers Road, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Winter Warmer ",4,"<a href='http://maps.google.com/maps/place?cid=14147025361713499627&q=Riverside+Beverage+chattanooga&hl=en&gl=us&ie=UTF8&ll=35.089631,-85.356629&spn=0.00007,0.000086&t=w&z=14&vpsrc=0' target='_blank'>Riverside Beverage</a>","http://maps.google.com/maps/place?cid=14147025361713499627&q=Riverside+Beverage+chattanooga&hl=en&gl=us&ie=UTF8&ll=35.089631,-85.356629&spn=0.00007,0.000086&t=w&z=14&vpsrc=0"
Tremont Tavern,"Chickbock, Two Taverns Pale Ale, Hill City Gold, Hill City IPA, Imperial Pilsner","1203 Hixson Pike, Chattanooga, TN",35.069599,-85.289418,"1203 Hixson Pike, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Chickbock, Two Taverns Pale Ale, Hill City Gold, Hill City IPA, Imperial Pilsner",5,"<a href='http://maps.google.com/maps/place?cid=5061725281370914065&q=Tremont+Tavern&hl=en&gl=us&ie=UTF8&ll=35.071917,-85.318828&spn=0.000035,0.000043&t=w&z=15&vpsrc=0' target='_blank'>Tremont Tavern</a>","http://maps.google.com/maps/place?cid=5061725281370914065&q=Tremont+Tavern&hl=en&gl=us&ie=UTF8&ll=35.071917,-85.318828&spn=0.000035,0.000043&t=w&z=15&vpsrc=0"
Market Street Tavern,Two Taverns Pale Ale,"850 Market St # 100, Chattanooga, TN",35.0727,-85.308422,"850 Market St # 100, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Two Taverns Pale Ale",6,"<a href='http://maps.google.com/maps/place?cid=12823574273339668842&q=Market+Street+Tavern&hl=en&gl=us&ie=UTF8&ll=35.049662,-85.313874&spn=0.000009,0.000011&t=w&z=17&vpsrc=0' target='_blank'>Market Street Tavern</a>","http://maps.google.com/maps/place?cid=12823574273339668842&q=Market+Street+Tavern&hl=en&gl=us&ie=UTF8&ll=35.049662,-85.313874&spn=0.000009,0.000011&t=w&z=17&vpsrc=0"
Mellow Mushroom,Winter Warmer,"205 Broad Street, Chattanooga, TN",35.053852,-85.31059,"205 Broad Street, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Winter Warmer",7,"<a href='http://maps.google.com/maps/place?cid=7234250805824278232&q=Mellow+Mushroom+chattanooga&hl=en&gl=us&ie=UTF8&ll=35.068533,-85.330251&spn=0.000035,0.000043&t=w&z=15&vpsrc=0' target='_blank'>Mellow Mushroom</a>","http://maps.google.com/maps/place?cid=7234250805824278232&q=Mellow+Mushroom+chattanooga&hl=en&gl=us&ie=UTF8&ll=35.068533,-85.330251&spn=0.000035,0.000043&t=w&z=15&vpsrc=0"
Good Dog,ChickBock,"34 Frazier Avenue, Chattanooga, TN",35.062451,-85.307495,"34 Frazier Avenue, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>ChickBock",8,"<a href='http://maps.google.com/maps/place?cid=6214426809291636297&q=Good+Dog+chattanooga&hl=en&gl=us&ie=UTF8&ll=35.090766,-85.345969&spn=0.00007,0.000086&t=w&z=14&vpsrc=0' target='_blank'>Good Dog</a>","http://maps.google.com/maps/place?cid=6214426809291636297&q=Good+Dog+chattanooga&hl=en&gl=us&ie=UTF8&ll=35.090766,-85.345969&spn=0.00007,0.000086&t=w&z=14&vpsrc=0"
Lupi's Pizza Pies (Down Town),ChickBock,"406 Broad St # A, Chattanooga, TN",35.052187,-85.310557,"406 Broad St # A, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>ChickBock",9,"<a href='http://maps.google.com/maps/place?cid=15813495531332168678&q=Lupi's+Pizza+Pies+(Down+Town)+chattanooga&hl=en&gl=us&ie=UTF8&ll=35.055451,-85.315382&spn=0.000009,0.000011&t=w&z=17&vpsrc=0' target='_blank'>Lupi's Pizza Pies (Down Town)</a>","http://maps.google.com/maps/place?cid=15813495531332168678&q=Lupi's+Pizza+Pies+(Down+Town)+chattanooga&hl=en&gl=us&ie=UTF8&ll=35.055451,-85.315382&spn=0.000009,0.000011&t=w&z=17&vpsrc=0"
Stone Cup,Winter Warmer,"16 Frazier Avenue, Chattanooga, TN",35.062473,-85.307758,"16 Frazier Avenue, Chattanooga, TN<br><br><strong>Beers on Tap:</strong><br>Winter Warmer",10,"<a href='http://maps.google.com/maps/place?ftid=0x8860608f81c7f28d:0x5a04ac7aadd5a578&q=2511+Riverside+Drive+Suite+B3+Chattanooga,+Tennessee+37406&hl=en&gl=us&ie=UTF8&ll=35.073825,-85.266504&spn=0.000009,0.000011&t=w&z=17&vpsrc=0' target='_blank'>Stone Cup</a>","http://maps.google.com/maps/place?ftid=0x8860608f81c7f28d:0x5a04ac7aadd5a578&q=2511+Riverside+Drive+Suite+B3+Chattanooga,+Tennessee+37406&hl=en&gl=us&ie=UTF8&ll=35.073825,-85.266504&spn=0.000009,0.000011&t=w&z=17&vpsrc=0"
